ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Swatches Attributes","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Download 1 ID","Download 1 name","Download 1 URL"
54,simple,,"Supercaliber 9.9 XX1 AXS",1,0,visible,"A simple product is the most common and easily-understandable product type in WooCommerce. A simple product is a unique, stand-alone, physical product that you may have to ship to the customer. To start with, you can create a simple product, assign a price &amp; SKU for the product, and start selling them. eg: Books.\n\nSimple product in WooCommerce is one of the easiest to configure. You can add price, SKU and stock details, and publish a simple product. While creating a new product, you can select ‘Simple product’ from the drop-down.\n\nTo understand the process of setting up a WooCommerce Simple Product in detail, refer to our article <a href=""https://docs.woocommerce.com/document/managing-products/#section-5"" data-wpel-link=""internal"">How to Add a WooCommerce Simple Product</a>.","[elementor-template id=""55""]",,,taxable,,1,,,0,0,,,,,1,,,999.99,"City, Customize, Electric bikes","bike, electric, EQUIPMENT, mountain, novaworks, product, woocommerce",,"https://sportie.novaworks.net/wp-content/uploads/2021/09/1.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/1-1.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/0022.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/011.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/009.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/008.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/007.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/006.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/005.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/004.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/003.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/001.jpg",,,,,,,,,0,,,,,,,,,,,,,,
79,variable,,"Powerfly FS 9 Equipped",1,0,visible,"This product type lets you add variations to the same product to create a complex, variable product. Each variation of the product has its own price, SKU, available stock, etc. eg: A shirt or t-shirt with different sizes and different colors.\n\nWhile creating the product, you can select the ‘Variable product’ option from the drop-down. To be able to create different variations, you will have to set up attributes and define values to each of them. You can use different attributes and values to create variations. After that, you can manually create available variations or create all possible variations in one go. You can update individual details for each variation, after all required variations are created.","[elementor-template id=""55""]",,,taxable,,1,,,0,0,,,,,1,,,,"City, Customize, Electric bikes","bike, electric, EQUIPMENT, mountain, novaworks, product, woocommerce",,"https://sportie.novaworks.net/wp-content/uploads/2021/09/3.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/2-2.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/001.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/003.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/004.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/005.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/006.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/007.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/008.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/009.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/011.jpg, https://sportie.novaworks.net/wp-content/uploads/2021/09/0022.jpg",,,,,,,,,0,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Black"":{""name"":""Black"",""color"":""#000000"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Orange"":{""name"":""Orange"",""color"":""#dd9933"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Black, Blue, Green, Orange, Red, Yellow",1,1,Black,Size,"50, 52, 54, 56, 58, 60, 62",1,1,50,,,
81,variation,,"Powerfly FS 9 Equipped - Black, 50",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,1,,Color,Black,,1,,Size,50,,1,,,,
82,variation,,"Powerfly FS 9 Equipped - Blue, 50",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,2,,Color,Blue,,1,,Size,50,,1,,,,
83,variation,,"Powerfly FS 9 Equipped - Green, 50",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,3,,Color,Green,,1,,Size,50,,1,,,,
84,variation,,"Powerfly FS 9 Equipped - Orange, 50",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,4,,Color,Orange,,1,,Size,50,,1,,,,
85,variation,,"Powerfly FS 9 Equipped - Red, 50",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,5,,Color,Red,,1,,Size,50,,1,,,,
86,variation,,"Powerfly FS 9 Equipped - Yellow, 50",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,6,,Color,Yellow,,1,,Size,50,,1,,,,
87,variation,,"Powerfly FS 9 Equipped - Black, 52",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,7,,Color,Black,,1,,Size,52,,1,,,,
88,variation,,"Powerfly FS 9 Equipped - Blue, 52",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,999.99,,,,,,,id:79,,,,,,8,,Color,Blue,,1,,Size,52,,1,,,,
